id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
664,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMP,16503.0,ORANG,2017
665,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA,42051.0,ORANG,2017
666,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,5007.0,ORANG,2017
667,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1315.0,ORANG,2017
668,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SD,9109.0,ORANG,2017
669,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMP,9317.0,ORANG,2017
670,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA,10372.0,ORANG,2017
671,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0.0,ORANG,2017
672,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2399.0,ORANG,2017
673,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD,5300.0,ORANG,2017
674,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,10013.0,ORANG,2017
675,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA,20024.0,ORANG,2017
676,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1242.0,ORANG,2017
677,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,6447.0,ORANG,2017
678,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD,23045.0,ORANG,2017
679,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMP,16883.0,ORANG,2017
680,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA,23344.0,ORANG,2017
681,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,792.0,ORANG,2017
